task_type,baseline_zero_shot,reptile_zero_shot,reptile_few_shot_5,zero_shot_improvement,few_shot_improvement
tr_en,1.9070964317432069,12.429786530226508,11.939729366275419,10.5226900984833,10.032632934532211
uk_en,1.0628346831796622,6.298461944219707,10.612197869455795,5.235627261040046,9.549363186276132
en_tr,0.0060721317978021045,4.19343735878347,4.77329392474787,4.187365226985667,4.7672217929500675
az_tr,0.0,1.7624145553100001,3.521650300920362,1.7624145553100001,3.521650300920362
uk_be,0.0,2.36709476450399,3.201072948305412,2.36709476450399,3.201072948305412
tr_az,0.0,1.4310456865800045,2.635572968810705,1.4310456865800045,2.635572968810705
be_uk,0.0,2.2852790035572506,2.615535526931717,2.2852790035572506,2.615535526931717
be_tr,0.0,2.061582147297317,2.5069672246697454,2.061582147297317,2.5069672246697454
uk_az,0.0,0.17595032313298156,2.1248408302921784,0.17595032313298156,2.1248408302921784
en_uk,0.5052841610485945,4.389471044178294,2.378009541258961,3.8841868831296997,1.8727253802103663
az_uk,0.0,1.410398554577189,0.11641504472738604,1.410398554577189,0.11641504472738604
tr_be,0.0,2.3595082264834577,0.10610983214827659,2.3595082264834577,0.10610983214827659
be_az,0.0,0.19188162707399437,0.0,0.19188162707399437,0.0
tr_uk,0.0,1.4465327906067877,0.0,1.4465327906067877,0.0
az_be,0.0,0.6146510401905587,0.0,0.6146510401905587,0.0
uk_tr,0.0,1.166683466822508,0.0,1.166683466822508,0.0
en_az,8.432506409764263e-06,0.10130924374745333,0.0,0.10130081124104356,-8.432506409764263e-06
en_be,0.01029747992343325,3.2318731617924947,0.0,3.2215756818690613,-0.01029747992343325
az_en,1.5792637844411486,5.039677021079473,0.0,3.460413236638324,-1.5792637844411486
be_en,3.169781986534973,8.76900298611723,0.0,5.599220999582256,-3.169781986534973
